Fecha,Casas de Cambio,Informal
03/01/11,4,4.11
04/01/11,4,4.12
05/01/11,4,4.138
06/01/11,4,4.138
07/01/11,4,4.12
10/01/11,4,4.113
11/01/11,4,4.13
12/01/11,4,4.13
13/01/11,4,4.135
14/01/11,4,4.135
17/01/11,4,4.13
18/01/11,4,4.145
19/01/11,4,4.148
20/01/11,4.005,4.15
21/01/11,4.005,4.145
24/01/11,4.01,4.143
25/01/11,4.01,4.143
26/01/11,4.01,4.148
27/01/11,4.015,4.15
28/01/11,4.02,4.15
31/01/11,4.02,4.135
01/02/11,4.03,4.133
02/02/11,4.035,4.118
03/02/11,4.035,4.115
04/02/11,4.04,4.118
07/02/11,4.04,4.118
08/02/11,4.04,4.135
09/02/11,4.04,4.135
10/02/11,4.04,4.138
11/02/11,4.04,4.145
14/02/11,4.04,4.143
15/02/11,4.05,4.158
16/02/11,4.05,4.168
17/02/11,4.05,4.178
18/02/11,4.05,4.178
21/02/11,4.05,4.163
22/02/11,4.05,4.163
23/02/11,4.05,4.165
24/02/11,4.055,4.173
25/02/11,4.055,4.165
28/02/11,4.055,4.153
01/03/11,4.055,4.153
02/03/11,4.055,4.148
03/03/11,4.06,4.143
04/03/11,4.06,4.133
09/03/11,4.06,4.115
10/03/11,4.06,4.113
11/03/11,4.06,4.143
14/03/11,4.06,4.14
15/03/11,4.06,4.163
16/03/11,4.065,4.165
17/03/11,4.065,4.163
18/03/11,4.065,4.155
21/03/11,4.065,4.163
22/03/11,4.065,4.158
23/03/11,4.065,4.165
28/03/11,4.065,4.165
29/03/11,4.065,4.165
30/03/11,4.07,4.16
31/03/11,4.07,4.158
01/04/11,4.07,4.155
04/04/11,4.07,4.158
05/04/11,4.07,4.158
06/04/11,4.075,4.16
07/04/11,4.075,4.16
08/04/11,4.075,4.16
11/04/11,4.075,4.163
12/04/11,4.075,4.173
13/04/11,4.08,4.18
14/04/11,4.085,4.203
15/04/11,4.09,4.203
18/04/11,4.095,4.203
19/04/11,4.095,4.215
20/04/11,4.1,4.223
25/04/11,4.1,4.248
26/04/11,4.1,4.275
27/04/11,4.105,4.285
28/04/11,4.105,4.325
29/04/11,4.105,4.305
02/05/11,4.11,4.265
03/05/11,4.11,4.285
04/05/11,4.11,4.273
05/05/11,4.11,4.27
06/05/11,4.11,4.268
09/05/11,4.11,4.268
10/05/11,4.11,4.275
11/05/11,4.11,4.283
12/05/11,4.11,4.285
13/05/11,4.11,4.288
16/05/11,4.115,4.293
17/05/11,4.115,4.315
18/05/11,4.12,4.32
19/05/11,4.12,4.333
20/05/11,4.12,4.333
23/05/11,4.12,4.34
24/05/11,4.12,4.35
26/05/11,4.12,4.343
27/05/11,4.12,4.343
30/05/11,4.12,4.325
31/05/11,4.12,4.298
01/06/11,4.12,4.305
